     0.33837583     0.34687609    0.049000000     -1.5999673
     0.34347161     0.35196288    0.050000000     -1.6069180
     0.34850674     0.35698903    0.051000000     -1.6136980
     0.35348181     0.36195512    0.052000000     -1.6203141
     0.35839744     0.36686176    0.053000000     -1.6267725
     0.36325420     0.37170954    0.054000000     -1.6330794
     0.36805269     0.37649905    0.055000000     -1.6392402
     0.37279348     0.38123086    0.056000000     -1.6452606
     0.37747715     0.38590555    0.057000000     -1.6511454
     0.38210427     0.39052369    0.058000000     -1.6568996
     0.38667539     0.39508584    0.059000000     -1.6625277
     0.39119109     0.39959255    0.060000000     -1.6680340
     0.39565190     0.40404439    0.061000000     -1.6734226
     0.40005838     0.40844189    0.062000000     -1.6786976
     0.40441106     0.41278559    0.063000000     -1.6838626
     0.40871048     0.41707603    0.064000000     -1.6889211
     0.41295717     0.42131375    0.065000000     -1.6938766
     0.41715166     0.42549926    0.066000000     -1.6987323
     0.42129446     0.42963309    0.067000000     -1.7034913
     0.42538609     0.43371574    0.068000000     -1.7081566
     0.42942706     0.43774774    0.069000000     -1.7127309
     0.43341787     0.44172957    0.070000000     -1.7172169
     0.43735903     0.44566175    0.071000000     -1.7216174
     0.44125101     0.44954477    0.072000000     -1.7259346
     0.44509432     0.45337910    0.073000000     -1.7301711
     0.44888944     0.45716525    0.074000000     -1.7343291
     0.45263685     0.46090369    0.075000000     -1.7384107
     0.45633702     0.46459489    0.076000000     -1.7424181
     0.45999043     0.46823932    0.077000000     -1.7463533
     0.46359753     0.47183745    0.078000000     -1.7502182
     0.46715879     0.47538974    0.079000000     -1.7540146
     0.47067467     0.47889665    0.080000000     -1.7577445
     0.47414561     0.48235862    0.081000000     -1.7614095
     0.47757207     0.48577611    0.082000000     -1.7650113
     0.48095448     0.48914955    0.083000000     -1.7685514
     0.48429329     0.49247939    0.084000000     -1.7720314
     0.48758893     0.49576606    0.085000000     -1.7754529
     0.49084182     0.49900998    0.086000000     -1.7788172
     0.49405240     0.50221160    0.087000000     -1.7821257
     0.49722108     0.50537131    0.088000000     -1.7853798
     0.50034829     0.50848955    0.089000000     -1.7885808
     0.50343443     0.51156672    0.090000000     -1.7917299
     0.50647991     0.51460323    0.091000000     -1.7948283
     0.50948514     0.51759950    0.092000000     -1.7978772
     0.51245051     0.52055591    0.093000000     -1.8008778
     0.51537643     0.52347286    0.094000000     -1.8038311
     0.51826329     0.52635075    0.095000000     -1.8067381
     0.52111147     0.52918997    0.096000000     -1.8096000
     0.52392137     0.53199090    0.097000000     -1.8124177
     0.52669335     0.53475392    0.098000000     -1.8151921
     0.52942780     0.53747941    0.099000000     -1.8179243
     0.53212510     0.54016774     0.10000000     -1.8206150
     0.53478561     0.54281928     0.10100000     -1.8232653
     0.53740969     0.54543441     0.10200000     -1.8258758
     0.53999772     0.54801347     0.10300000     -1.8284476
     0.54255004     0.55055683     0.10400000     -1.8309813
     0.54506702     0.55306485     0.10500000     -1.8334778
     0.54754900     0.55553787     0.10600000     -1.8359378
     0.54999634     0.55797625     0.10700000     -1.8383621
     0.55240938     0.56038032     0.10800000     -1.8407513
     0.55478845     0.56275044     0.10900000     -1.8431062
     0.55713391     0.56508693     0.11000000     -1.8454274
     0.55944608     0.56739014     0.11100000     -1.8477157
     0.56172529     0.56966039     0.11200000     -1.8499715
     0.56397187     0.57189801     0.11300000     -1.8521957
     0.56618615     0.57410334     0.11400000     -1.8543887
     0.56836845     0.57627667     0.11500000     -1.8565511
     0.57051909     0.57841835     0.11600000     -1.8586836
     0.57263837     0.58052867     0.11700000     -1.8607867
     0.57472662     0.58260796     0.11800000     -1.8628610
     0.57678414     0.58465653     0.11900000     -1.8649069
     0.57881124     0.58667467     0.12000000     -1.8669250
     0.58080821     0.58866269     0.12100000     -1.8689158
     0.58277537     0.59062089     0.12200000     -1.8708798
     0.58471301     0.59254956     0.12300000     -1.8728175
     0.58662141     0.59444901     0.12400000     -1.8747293
     0.58850088     0.59631952     0.12500000     -1.8766158
     0.59035169     0.59816138     0.12600000     -1.8784773
     0.59217414     0.59997487     0.12700000     -1.8803142
     0.59396851     0.60176028     0.12800000     -1.8821271
     0.59573507     0.60351789     0.12900000     -1.8839163
     0.59747411     0.60524797     0.13000000     -1.8856823
     0.59918589     0.60695080     0.13100000     -1.8874254
     0.60087069     0.60862664     0.13200000     -1.8891460
     0.60252878     0.61027577     0.13300000     -1.8908445
     0.60416042     0.61189846     0.13400000     -1.8925212
     0.60576587     0.61349495     0.13500000     -1.8941766
     0.60734540     0.61506553     0.13600000     -1.8958110
     0.60889926     0.61661044     0.13700000     -1.8974247
     0.61042771     0.61812994     0.13800000     -1.8990181
     0.61193101     0.61962428     0.13900000     -1.9005915
     0.61340939     0.62109371     0.14000000     -1.9021452
     0.61486312     0.62253848     0.14100000     -1.9036795
     0.61629243     0.62395884     0.14200000     -1.9051948
     0.61769757     0.62535503     0.14300000     -1.9066913
     0.61907878     0.62672728     0.14400000     -1.9081694
     0.62043629     0.62807585     0.14500000     -1.9096293
     0.62177035     0.62940095     0.14600000     -1.9110713
     0.62308119     0.63070284     0.14700000     -1.9124958
     0.62436903     0.63198173     0.14800000     -1.9139029
     0.62563411     0.63323785     0.14900000     -1.9152929
     0.62687665     0.63447144     0.15000000     -1.9166662
     0.62809688     0.63568272     0.15100000     -1.9180229
     0.62929501     0.63687190     0.15200000     -1.9193633
     0.63047128     0.63803922     0.15300000     -1.9206877
     0.63162589     0.63918488     0.15400000     -1.9219963
     0.63275906     0.64030910     0.15500000     -1.9232893
     0.63387101     0.64141210     0.15600000     -1.9245669
     0.63496195     0.64249408     0.15700000     -1.9258295
     0.63603207     0.64355526     0.15800000     -1.9270772
     0.63708161     0.64459584     0.15900000     -1.9283102
     0.63811075     0.64561603     0.16000000     -1.9295288
     0.63911970     0.64661603     0.16100000     -1.9307331
     0.64010866     0.64759604     0.16200000     -1.9319234
     0.64107783     0.64855626     0.16300000     -1.9330998
     0.64202740     0.64949689     0.16400000     -1.9342626
     0.64295758     0.65041812     0.16500000     -1.9354120
     0.64386856     0.65132015     0.16600000     -1.9365482
     0.64476052     0.65220316     0.16700000     -1.9376712
     0.64563365     0.65306735     0.16800000     -1.9387814
     0.64648815     0.65391289     0.16900000     -1.9398789
     0.64732419     0.65473999     0.17000000     -1.9409639
     0.64814197     0.65554882     0.17100000     -1.9420366
     0.64894166     0.65633956     0.17200000     -1.9430971
     0.64972344     0.65711240     0.17300000     -1.9441455
     0.65048750     0.65786751     0.17400000     -1.9451822
     0.65123400     0.65860506     0.17500000     -1.9462071
     0.65196313     0.65932524     0.17600000     -1.9472206
     0.65267505     0.66002821     0.17700000     -1.9482227
     0.65336993     0.66071415     0.17800000     -1.9492136
     0.65404796     0.66138323     0.17900000     -1.9501934
     0.65470928     0.66203561     0.18000000     -1.9511623
     0.65535408     0.66267146     0.18100000     -1.9521205
     0.65598251     0.66329094     0.18200000     -1.9530681
     0.65659474     0.66389423     0.18300000     -1.9540052
     0.65719093     0.66448147     0.18400000     -1.9549319
     0.65777123     0.66505283     0.18500000     -1.9558485
     0.65833581     0.66560846     0.18600000     -1.9567550
     0.65888483     0.66614853     0.18700000     -1.9576515
     0.65941843     0.66667319     0.18800000     -1.9585383
     0.65993677     0.66718258     0.18900000     -1.9594154
     0.66044001     0.66767687     0.19000000     -1.9602829
     0.66092828     0.66815620     0.19100000     -1.9611410
     0.66140175     0.66862073     0.19200000     -1.9619898
     0.66186056     0.66907059     0.19300000     -1.9628295
     0.66230486     0.66950594     0.19400000     -1.9636600
     0.66273478     0.66992692     0.19500000     -1.9644816
     0.66315048     0.67033367     0.19600000     -1.9652944
     0.66355209     0.67072634     0.19700000     -1.9660985
     0.66393975     0.67110506     0.19800000     -1.9668939
     0.66431361     0.67146997     0.19900000     -1.9676809
     0.66467380     0.67182121     0.20000000     -1.9684594
     0.66502045     0.67215892     0.20100000     -1.9692296
     0.66535371     0.67248324     0.20200000     -1.9699917
     0.66567370     0.67279428     0.20300000     -1.9707457
     0.66598055     0.67309219     0.20400000     -1.9714917
     0.66627440     0.67337710     0.20500000     -1.9722298
     0.66655538     0.67364914     0.20600000     -1.9729601
     0.66682362     0.67390843     0.20700000     -1.9736827
     0.66707923     0.67415510     0.20800000     -1.9743977
     0.66732235     0.67438928     0.20900000     -1.9751052
     0.66755311     0.67461109     0.21000000     -1.9758053
     0.66777161     0.67482065     0.21100000     -1.9764981
     0.66797800     0.67501809     0.21200000     -1.9771836
     0.66817238     0.67520353     0.21300000     -1.9778620
     0.66835487     0.67537708     0.21400000     -1.9785333
     0.66852560     0.67553887     0.21500000     -1.9791976
     0.66868469     0.67568901     0.21600000     -1.9798551
     0.66883223     0.67582762     0.21700000     -1.9805057
     0.66896837     0.67595481     0.21800000     -1.9811496
     0.66909319     0.67607069     0.21900000     -1.9817869
     0.66920683     0.67617539     0.22000000     -1.9824176
     0.66930938     0.67626900     0.22100000     -1.9830418
     0.66940097     0.67635164     0.22200000     -1.9836595
     0.66948169     0.67642342     0.22300000     -1.9842710
     0.66955167     0.67648445     0.22400000     -1.9848761
     0.66961099     0.67653484     0.22500000     -1.9854751
     0.66965978     0.67657468     0.22600000     -1.9860680
     0.66969813     0.67660409     0.22700000     -1.9866548
     0.66972614     0.67662317     0.22800000     -1.9872356
     0.66974393     0.67663202     0.22900000     -1.9878106
     0.66975160     0.67663074     0.23000000     -1.9883796
     0.66974924     0.67661943     0.23100000     -1.9889429
     0.66973695     0.67659820     0.23200000     -1.9895006
     0.66971483     0.67656715     0.23300000     -1.9900525
     0.66968299     0.67652636     0.23400000     -1.9905989
     0.66964151     0.67647594     0.23500000     -1.9911398
     0.66959049     0.67641598     0.23600000     -1.9916752
